Subject,Gender,Age,Race,Eth.Ori,Education,Spite,SSES,SRPS,SJS,Vignettes,Content,Justification,Realism,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
14,1,20,1,3,3,40,40,3.34965035,4,5,No_Sex,1,2,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
14,1,20,1,3,3,40,40,3.34965035,4,6,No_Sex,5,5,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
14,1,20,1,3,3,40,40,3.34965035,4,7,Sex,1,4,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
14,1,20,1,3,3,40,40,3.34965035,4,8,No_Sex,2,4,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
14,1,20,1,3,3,40,40,3.34965035,4,9,No_Sex,1,1,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
14,1,20,1,3,3,40,40,3.34965035,4,10,Sex,4,4,11.3495,1.2238,13.2724,9.4266,1.9024,0.5452
15,2,31,1,2,4,27,25,3.255244755,3,1,Sex,2,4,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
15,2,31,1,2,4,27,25,3.255244755,3,2,Sex,2,2,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
15,2,31,1,2,4,27,25,3.255244755,3,3,No_Sex,1,1,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
15,2,31,1,2,4,27,25,3.255244755,3,4,Sex,2,2,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
15,2,31,1,2,4,27,25,3.255244755,3,5,No_Sex,2,2,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
15,2,31,1,2,4,27,25,3.255244755,3,6,No_Sex,4,4,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
15,2,31,1,2,4,27,25,3.255244755,3,7,Sex,1,1,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
15,2,31,1,2,4,27,25,3.255244755,3,8,No_Sex,2,5,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
15,2,31,1,2,4,27,25,3.255244755,3,9,No_Sex,4,1,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
15,2,31,1,2,4,27,25,3.255244755,3,10,Sex,3,3,19.5674,1.8428,20.5256,18.6092,1.6248,2.0608
16,1,22,1,3,2,17,28,3.255244755,3,1,Sex,5,4,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
16,1,22,1,3,2,17,28,3.255244755,3,2,Sex,2,3,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
16,1,22,1,3,2,17,28,3.255244755,3,3,No_Sex,1,4,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
16,1,22,1,3,2,17,28,3.255244755,3,4,Sex,1,5,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
16,1,22,1,3,2,17,28,3.255244755,3,5,No_Sex,1,4,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
16,1,22,1,3,2,17,28,3.255244755,3,6,No_Sex,2,4,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
16,1,22,1,3,2,17,28,3.255244755,3,7,Sex,1,4,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
16,1,22,1,3,2,17,28,3.255244755,3,8,No_Sex,1,4,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
16,1,22,1,3,2,17,28,3.255244755,3,9,No_Sex,3,5,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
16,1,22,1,3,2,17,28,3.255244755,3,10,Sex,1,5,19.5687,1.8433,20.8652,18.2722,2.081,1.6056
17,1,21,1,3,4,39,24,2.888111888,11,1,Sex,2,4,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
17,1,21,1,3,4,39,24,2.888111888,11,2,Sex,1,3,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
17,1,21,1,3,4,39,24,2.888111888,11,3,No_Sex,1,2,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
17,1,21,1,3,4,39,24,2.888111888,11,4,Sex,1,2,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
17,1,21,1,3,4,39,24,2.888111888,11,5,No_Sex,2,4,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
17,1,21,1,3,4,39,24,2.888111888,11,6,No_Sex,2,1,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
17,1,21,1,3,4,39,24,2.888111888,11,7,Sex,1,2,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
17,1,21,1,3,4,39,24,2.888111888,11,8,No_Sex,1,4,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
17,1,21,1,3,4,39,24,2.888111888,11,9,No_Sex,4,2,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
17,1,21,1,3,4,39,24,2.888111888,11,10,Sex,1,1,19.2934,2.95,17.5764,21.0104,3.2948,2.6052
18,1,21,1,3,4,43,45,2.122377622,8,1,Sex,5,3,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
18,1,21,1,3,4,43,45,2.122377622,8,2,Sex,2,3,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
18,1,21,1,3,4,43,45,2.122377622,8,3,No_Sex,1,3,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
18,1,21,1,3,4,43,45,2.122377622,8,4,Sex,1,2,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
18,1,21,1,3,4,43,45,2.122377622,8,5,No_Sex,1,5,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
18,1,21,1,3,4,43,45,2.122377622,8,6,No_Sex,5,5,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
18,1,21,1,3,4,43,45,2.122377622,8,7,Sex,1,4,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
18,1,21,1,3,4,43,45,2.122377622,8,8,No_Sex,2,4,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
18,1,21,1,3,4,43,45,2.122377622,8,9,No_Sex,2,2,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
18,1,21,1,3,4,43,45,2.122377622,8,10,Sex,4,4,18.4694,1.9488,18.7532,18.1856,1.5306,2.367
