,Participants,Timing...First.Click.55,Timing...First.Click.56,Timing...First.Click.57,Timing...First.Click.58,Timing...First.Click.59,Timing...First.Click.60,Timing...First.Click.61,Timing...First.Click.62,Timing...First.Click.63,Timing...First.Click.64,Timing...First.Click.65,Timing...First.Click.66,Timing...First.Click.67,Timing...First.Click.68,Timing...First.Click.69,Timing...First.Click.70,Timing...First.Click.71,Timing...First.Click.72,Timing...First.Click.73,Timing...First.Click.74,Timing...First.Click.75,Justification_overall_timing,agreement_overall_timing,sexual_timing_justification,non_sexual_timing_justification,agreement_sexual_timing,agreement_non_sexual_timing
77,77,13.821,53.995,3.353,2.144,2.631,5.615,1.875,3.927,1.451,27.952,2.216,27.193,0.754,39.237,0.831,39.192,0.846,28.85,1.571,45.144,1.131,27.3249,1.6659,28.8894,25.7604,1.8794,1.4524
78,78,5.19,42.464,4.884,34.16,2.273,37.697,2.493,29.327,1.635,19.945,1.924,19.116,1.414,61.771,0.602,31.479,1.988,23.024,1.34,28.447,3.43,32.743,2.1983,39.2338,26.2522,2.5648,1.8318
79,79,10.749,44.436,2.895,35.948,0.949,34.218,0.882,19.095,0.574,57.027,0.72,36.173,0.428,28.707,0.82,34.639,0.516,18.099,0.75,77.733,1.412,38.6075,0.9946,41.1838,36.0312,1.33,0.6592
80,80,5.967,34.704,5.564,28.022,3.165,27.919,1.992,16.688,2.146,24.671,1.468,19.486,1.677,16.211,2.573,15.789,2.264,13.944,3.001,18.811,2.219,21.6245,2.6069,22.8872,20.3618,3.1334,2.0804
81,81,10.08,54.622,3.263,26.087,1.218,38.085,2.845,37.856,1.58,21.778,3.394,23.562,1.251,21.916,1.168,55.518,1.508,52.232,1.153,45.662,0.832,37.7318,1.8212,37.2286,38.235,1.6122,2.0302
82,82,7.693,32.14,5.658,43.496,10.669,46.075,2.307,23.314,2.881,42.846,2.251,26.836,2.079,46.434,2.532,47.57,4.727,24.137,4.139,26.469,1.755,35.9317,3.8998,34.3706,37.4928,4.699,3.1006
83,83,6.17,25.335,7.783,2.118,1.959,1.775,2.148,1.502,1.136,30.171,4.51,21.42,1.097,37.733,1.794,39.938,0.988,0.239,1.87,31.284,1.191,19.1515,2.4476,19.5944,18.7086,2.7726,2.1226
84,84,3.595,18.357,1.787,34.956,1.583,17.302,1.37,17.639,1.213,33.155,1.489,8.667,2.342,14.766,1.696,11.897,1.378,11.143,2.085,10.371,1.817,17.8253,1.676,19.2178,16.4328,1.6192,1.7328
85,85,3.059,214.928,4.016,80.954,1.496,24.481,2.339,56.876,1.41,63.13,0.842,3.841,2.32,13.207,0.901,25.818,2.389,10.954,0.89,16.496,1.794,51.0685,1.8397,76.4922,25.6448,1.9234,1.756
86,86,2.787,20.477,2.333,14.939,1.691,15.631,1.575,2.823,1.44,10.395,0.538,5.629,0.922,1.41,0.479,0.766,0.714,0.623,0.417,11.434,0.776,8.4127,1.0885,10.2166,6.6088,1.3438,0.8332
87,87,2.519,64.434,1.804,18.294,3.195,16.357,0.562,10.832,1.804,7.793,1.504,2.896,1.923,7.857,1.679,10.998,0.682,5.968,0.459,34.463,0.051,17.9892,1.3663,27.176,8.8024,1.7066,1.026
88,88,18.871,35.673,3.844,38.324,2.058,55.7,1.208,23.007,1.216,25.024,1.538,59.715,1.352,37.093,1.222,26.433,1.766,23.988,1.419,38.668,1.063,36.3625,1.6686,34.553,38.172,1.8806,1.4566
89,89,3.906,17.507,3.452,21.612,3.788,39.381,3.761,11.767,2.565,22.957,3.238,21.7,2.506,24.498,2.56,15.471,2.546,21.018,2.681,23.645,2.308,21.9556,2.9405,19.8058,24.1054,2.9346,2.9464
90,90,6.005,6.703,2.934,19.926,2.611,15.145,1.256,11.802,0.825,9.631,1.001,9.932,1.243,7.654,0.598,11.319,0.595,12.804,0.627,3.28,0.699,10.8196,1.2389,9.873,11.7662,1.5334,0.9444
91,91,6.343,17,11.826,28.518,3.448,8.458,2.108,29.499,3.563,17.189,1.45,21.541,1.102,25.534,11.973,28.067,1.669,26.66,1.464,23.098,3.387,22.5564,4.199,24.7298,20.383,6.8394,1.5586
92,92,824.809,60.938,6.14,27.492,3.227,50.518,3.12,26.339,2.371,28.528,2.256,26.114,5.442,58.093,3.043,23.697,5.546,61.814,2.329,30.132,2.319,39.3665,3.5793,40.5988,38.1342,3.42,3.7386
